Year,Total,less than 1 year,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years y m‡s,No especificado,
1990,"14,493",143,181,180,275,"1,427","2,291","2,154","1,656","1,473","1,032",932,666,564,412,314,186,145,91,127,244,
1991,"15,128",143,209,185,290,"1,606","2,575","2,243","1,725","1,467","1,050",898,651,531,438,316,215,137,98,78,273,
1992,"16,594",122,204,150,265,"1,705","2,987","2,474","2,079","1,668","1,206",942,744,568,433,287,197,136,83,83,261,
1993,"16,040",112,189,145,265,"1,643","2,740","2,518","1,913","1,671","1,145",936,702,583,390,289,248,130,82,100,239,
1994,"15,839",115,192,138,254,"1,615","2,824","2,340","1,927","1,542","1,116",940,696,573,440,309,210,131,90,82,305,
1995,"15,612",140,149,123,249,"1,550","2,665","2,458","1,865","1,647","1,178",916,687,561,368,292,199,120,84,87,274,
1996,"14,505",129,169,126,213,"1,517","2,396","2,237","1,821","1,457","1,025",942,608,490,371,277,221,113,73,65,255,
1997,"13,552",109,126,103,209,"1,412","2,259","2,004","1,631","1,416","1,048",794,584,489,374,275,177,141,71,79,251,
1998,"13,656",81,137,127,233,"1,286","2,149","2,083","1,639","1,447","1,096",874,593,491,386,278,199,129,67,94,267,
1999,"12,249",98,138,113,219,"1,140","1,703","1,854","1,592","1,364",984,752,586,447,306,245,200,132,75,84,217,
2000,"10,737",79,108,93,197,973,"1,554","1,577","1,362","1,161",864,724,488,419,315,233,169,132,59,79,151,
2001,"10,285",80,120,99,198,981,"1,528","1,495","1,226","1,130",836,663,494,358,270,226,194,118,66,60,143,
2002,"10,088",83,114,69,164,944,"1,423","1,411","1,256","1,080",855,698,470,412,294,216,163,110,73,80,173,
2003,"10,087",71,105,68,158,860,"1,292","1,455","1,333","1,070",880,728,517,404,274,232,167,119,97,76,181,
2004,"9,329",79,86,56,146,777,"1,262","1,278","1,238","1,072",896,598,474,376,259,210,154,104,81,67,116,
2005,"9,921",69,108,75,182,814,"1,313","1,382","1,284","1,092",874,682,515,395,320,220,157,119,63,73,184,
2006,"10,452",67,112,66,159,849,"1,312","1,410","1,453","1,210",971,724,559,399,301,228,191,111,62,69,199,
2007,"8,867",63,63,57,115,704,"1,081","1,192","1,235","1,100",860,656,512,346,238,166,155,78,51,43,152,
2008,"14,006",71,84,50,140,"1,109","1,894","2,066","2,160","1,778","1,344","1,006",659,427,352,239,176,107,69,57,218,
2009,"19,803",105,127,82,184,"1,577","2,766","3,005","2,824","2,723","1,829","1,281",925,631,423,301,203,134,81,74,528,
2010,"25,757",60,123,65,194,"2,234","3,812","4,125","4,052","3,375","2,309","1,606","1,096",688,441,317,240,142,69,78,731,
2011,"27,213",66,100,95,235,"2,419","3,926","4,190","3,800","3,369","2,366","1,603","1,141",738,501,341,221,149,98,115,"1,740",
2012,"25,967",73,119,76,249,"2,413","3,870","3,792","3,506","3,042","2,293","1,571","1,095",728,513,358,255,191,85,81,"1,657",
2013,"23,063",84,123,79,181,"1,828","3,277","3,314","3,117","2,747","2,142","1,564","1,063",731,543,366,282,170,110,108,"1,234",
2014,"20,010",80,111,68,151,"1,477","2,721","2,728","2,679","2,342","1,952","1,404",958,666,438,366,220,166,108,101,"1,274",
2015,"20,762",68,102,73,144,"1,561","2,845","2,943","2,688","2,470","2,098","1,483","1,052",750,495,344,225,167,102,71,"1,081",
2016,"24,559",52,76,71,194,"1,770","3,470","3,618","3,257","2,950","2,487","1,684","1,268",869,577,365,240,148,101,80,"1,282",
2017,"32,079",51,101,69,234,"2,403","4,626","4,857","4,548","3,972","3,293","2,233","1,499","1,019",646,455,294,189,99,58,"1,433",
2018,"36,685",78,104,92,193,"2,562","5,069","5,649","5,058","4,545","3,745","2,686","1,769","1,094",667,418,255,163,87,77,"2,374",
2019,"36,661",72,103,83,203,"2,452","5,194","5,956","5,327","4,414","3,693","2,756","1,738","1,120",710,418,269,159,96,67,"1,831",
2020,"36,773",55,97,92,212,"2,362","5,083","5,650","4,969","4,244","3,529","2,627","1,754","1,125",852,401,252,166,126,102,"3,075",
2021,"35,700",61,73,89,220,"2,290","4,947","5,358","4,997","4,262","3,421","2,625","1,752","1,035",679,436,256,138,82,81,"2,898",
2022,"33,287",64,71,78,199,"2,274","4,259","4,912","4,583","3,904","3,218","2,467","1,671","1,068",651,385,235,163,90,94,"2,901",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
