Año de registro : 2022,
Estado, Total
 Aguascalientes,88
 Baja California,2925
 Baja California Sur,90
 Campeche,110
 Coahuila de Zaragoza,170
 Colima,887
 Chiapas,503
 Chihuahua,2157
 Ciudad de México,747
 Durango,127
 Guanajuato,4329
 Guerrero,1404
 Hidalgo,390
 Jalisco,1863
 México,3257
 Michoacán de Ocampo,2329
 Morelos,1175
 Nayarit,196
 Nuevo León,1410
 Oaxaca,805
 Puebla,1089
 Querétaro,192
 Quintana Roo,647
 San Luis Potosí,759
 Sinaloa,587
 Sonora,1759
 Tabasco,354
 Tamaulipas,482
 Tlaxcala,155
 Veracruz de Ignacio de la Llave,787
 Yucatán,55
 Zacatecas,1459
